model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,representative_seed,num_trials,eval_protocol
QRC,Mackey_Glass_(tau=17),4.1850817348457234e-05,9.272560911855654e-06,0.22156224177536818,1.0,1e-08,2,2,0,2025,2030,11,cold_start
QRC,Mackey_Glass_(tau=17),1.558511801459134e-05,1.0075299810143094e-05,0.6464692664316204,1.0,1e-08,4,2,0,2025,2035,11,cold_start
QRC,Mackey_Glass_(tau=17),4.88403657688283e-06,5.411681912343515e-06,1.1080346813859137,1.0,1e-08,6,2,0,2025,2027,11,cold_start
QRC,Mackey_Glass_(tau=17),5.653416750012099e-06,4.099058543076065e-06,0.7250586192973112,1.0,1e-08,8,2,0,2025,2031,11,cold_start
QRC,Mackey_Glass_(tau=17),2.728478966293918e-06,8.779327800685965e-06,3.217663727351687,1.0,1e-08,10,2,0,2025,2031,11,cold_start
QRC,Mackey_Glass_(tau=30),2.727568482077987e-05,1.4177759378295678e-05,0.5197948088729347,1.0,1e-08,2,2,0,2025,2033,11,cold_start
QRC,Mackey_Glass_(tau=30),1.1133264006008988e-05,8.035424514396885e-06,0.721749211198073,1.0,1e-08,4,2,0,2025,2028,11,cold_start
QRC,Mackey_Glass_(tau=30),4.7005519284013475e-06,5.549016817637171e-06,1.1805032477376303,1.0,1e-08,6,2,0,2025,2027,11,cold_start
QRC,Mackey_Glass_(tau=30),5.911451031268315e-06,2.393425970532456e-06,0.404879607032614,1.0,1e-08,8,2,0,2025,2028,11,cold_start
QRC,Mackey_Glass_(tau=30),3.4159816550690552e-06,7.571007186561743e-06,2.2163489008575175,1.0,1e-08,10,2,0,2025,2033,11,cold_start
QRC,Mackey_Glass_(tau=100),3.832507989827636e-05,1.68574749172618e-05,0.4398549190766319,1.0,1e-08,2,2,0,2025,2029,11,cold_start
QRC,Mackey_Glass_(tau=100),1.0211020457780882e-05,7.882997444451588e-06,0.7720087798320567,1.0,1e-08,4,2,0,2025,2035,11,cold_start
QRC,Mackey_Glass_(tau=100),5.503076578309977e-06,3.88654798538461e-06,0.7062500276124066,1.0,1e-08,6,2,0,2025,2027,11,cold_start
QRC,Mackey_Glass_(tau=100),6.590285181876707e-06,2.3966940317555995e-06,0.363670761676067,1.0,1e-08,8,2,0,2025,2028,11,cold_start
QRC,Mackey_Glass_(tau=100),5.298922422081292e-06,9.2804157325688e-06,1.7513779205175968,1.0,1e-08,10,2,0,2025,2033,11,cold_start
QRC,ARMA_1_2_stochastic,0.010018239293475274,3.3009496975134224e-05,0.003294939959822362,1.0,1e-08,2,2,0,2025,2027,11,cold_start
QRC,ARMA_1_2_stochastic,0.008925036514716959,7.73457149622273e-05,0.00866615109469725,1.0,1e-08,4,2,0,2025,2033,11,cold_start
QRC,ARMA_1_2_stochastic,0.008806175850924785,0.00029891794974627603,0.03394412680447268,1.0,1e-08,6,2,0,2025,2033,11,cold_start
QRC,ARMA_1_2_stochastic,0.008910014794150387,0.00022858876504351568,0.0256552621207306,1.0,1e-08,8,2,0,2025,2026,11,cold_start
QRC,ARMA_1_2_stochastic,0.009020046544565423,0.0007035695842487281,0.07800066006007793,1.0,1e-08,10,2,0,2025,2028,11,cold_start
QRC,NARMA10_Chaotic,0.010792024918364654,3.128713938686842e-05,0.0028990981417794438,1.0,1e-08,2,2,0,2025,2031,11,cold_start
QRC,NARMA10_Chaotic,0.010749770002150957,4.974794773786391e-05,0.00462781508143055,1.0,1e-08,4,2,0,2025,2032,11,cold_start
QRC,NARMA10_Chaotic,0.0106952430308427,9.578541310370804e-05,0.008955889345149449,1.0,1e-08,6,2,0,2025,2027,11,cold_start
QRC,NARMA10_Chaotic,0.010470613138031312,8.334310468481418e-05,0.007959715786088567,1.0,1e-08,8,2,0,2025,2028,11,cold_start
QRC,NARMA10_Chaotic,0.008608390541525436,8.275397224232088e-05,0.009613175871044601,1.0,1e-08,10,2,0,2025,2029,11,cold_start
QRC,NARMA5_Chaotic,0.016731305475210692,7.174515452513302e-05,0.0042880786936459634,1.0,1e-08,2,2,0,2025,2029,11,cold_start
QRC,NARMA5_Chaotic,0.01585679250675195,8.700466009206775e-05,0.005486901594696434,1.0,1e-08,4,2,0,2025,2031,11,cold_start
QRC,NARMA5_Chaotic,0.013007467707746629,8.049047108780928e-05,0.006188020058652383,1.0,1e-08,6,2,0,2025,2033,11,cold_start
QRC,NARMA5_Chaotic,0.013100924967806323,0.00013019137310637903,0.009937571081912611,1.0,1e-08,8,2,0,2025,2027,11,cold_start
QRC,NARMA5_Chaotic,0.012530143045098143,0.00018263566000801032,0.014575704311648568,1.0,1e-08,10,2,0,2025,2028,11,cold_start
