model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,Classic_Chaos_(tau=17),0.0008293637026063756,0.00014449642651588262,0.17422564559045103,0.1,1e-08,4,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0008208265015530161,0.00010182861557901195,0.12405619870502557,0.1,1e-08,4,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0008359512733076718,0.0001803120139769264,0.2156967992446165,0.1,1e-08,4,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.00047962992402086137,4.050889255507873e-05,0.08445864306272267,0.1,1e-08,6,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0005248964920827564,5.592130671026758e-05,0.10653777945509853,0.1,1e-08,6,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0005021873894155945,6.990596553351859e-05,0.13920294895271976,0.1,1e-08,6,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0002651220608537361,3.6587790029578047e-05,0.13800356677886183,0.1,1e-08,8,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0002755859162356247,2.678473528298326e-05,0.09719195976648688,0.1,1e-08,8,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.00028228859019885925,1.7669174290068607e-05,0.06259259107008715,0.1,1e-08,8,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.00011842241717713561,3.448337869644939e-05,0.29118962033066204,0.1,1e-08,10,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.00015197908361916555,3.938276148877473e-05,0.2591327737405064,0.1,1e-08,10,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.000145793488440634,1.628243628536087e-05,0.111681505528904,0.1,1e-08,10,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.0001838772492583164,4.6838634894539754e-05,0.25472773322130465,0.3,1e-08,4,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.00016782964401131577,3.0369472856642514e-05,0.18095416358384742,0.3,1e-08,4,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),0.00015806624704430174,3.0358756739157407e-05,0.1920635006324194,0.3,1e-08,4,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),4.911160482780399e-05,1.7391194509658546e-05,0.3541157852738853,0.3,1e-08,6,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),5.311659087020301e-05,2.261749519082903e-05,0.425808486958391,0.3,1e-08,6,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),7.228208555497945e-05,3.0102292160941616e-05,0.41645577780188847,0.3,1e-08,6,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),2.0265454326416657e-05,8.96238973181896e-06,0.4422496326734804,0.3,1e-08,8,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),2.7932776008708063e-05,8.945238855142523e-06,0.32024167065793385,0.3,1e-08,8,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),2.717971495529481e-05,9.956626759541308e-06,0.36632565043150617,0.3,1e-08,8,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),1.705861234106652e-05,1.829332437193082e-05,1.072380566846688,0.3,1e-08,10,2.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),2.439547774001909e-05,1.0816407183950109e-05,0.4433775513322513,0.3,1e-08,10,3.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),2.7512823535845943e-05,1.233059071683486e-05,0.44817612778890414,0.3,1e-08,10,4.0,0.0,2025,,,
QRC,Classic_Chaos_(tau=17),8.910525982685072e-05,2.427296964796306e-05,0.2724078207631096,0.5,1e-08,4,2.0,0.0,2025,,,
