model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,representative_seed,num_trials,eval_protocol,reservoir_size,spectral_radius,sparsity
QRC,Mackey_Glass_(tau=17),0.037999846639545455,1.2552931385097095e-17,3.3034163280105413e-16,0.1,1e-08,1,1.0,0,2025,2026,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.03799984663954545,1.4793771510285994e-17,3.8931134776976974e-16,0.1,1e-08,1,2.0,0,2025,2026,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.03799984663954545,1.355871555195335e-17,3.5680974401204946e-16,0.1,1e-08,1,4.0,0,2025,2027,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0012328454075626427,0.00831906728055336,6.747859244574958,0.1,1e-08,2,1.0,0,2025,2030,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0006964208977900383,0.00027616340486066464,0.39654669430084255,0.1,1e-08,2,2.0,0,2025,2027,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0006756350263717956,0.00014885154366492287,0.22031353890023347,0.1,1e-08,2,4.0,0,2025,2035,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0006478603596686706,0.0002062349192978426,0.318332363170538,0.1,1e-08,4,1.0,0,2025,2029,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0008293637037618024,0.0001444964169406701,0.17422563380247735,0.1,1e-08,4,2.0,0,2025,2026,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0008359512777892776,0.00018031201335580238,0.21569679734523298,0.1,1e-08,4,4.0,0,2025,2029,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0004928348146814334,8.494678051810601e-05,0.17236359524035513,0.1,1e-08,6,1.0,0,2025,2029,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0004796299265059643,4.050889060052358e-05,0.08445863854998598,0.1,1e-08,6,2.0,0,2025,2026,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0005021873865200047,6.990596453641797e-05,0.1392029477698426,0.1,1e-08,6,4.0,0,2025,2030,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00026280700554439653,5.962502936180619e-05,0.22687762542058115,0.1,1e-08,8,1.0,0,2025,2027,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00026512207632206327,3.658779297757262e-05,0.13800356984654397,0.1,1e-08,8,2.0,0,2025,2027,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0002822885894339654,1.76691753963865e-05,0.0625925951587915,0.1,1e-08,8,4.0,0,2025,2028,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00016578417608642385,4.1660070990947784e-05,0.25129099757524653,0.1,1e-08,10,1.0,0,2025,2035,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00011842241427370766,3.44833766704009e-05,0.2911896103612621,0.1,1e-08,10,2.0,0,2025,2025,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00014579348928244168,1.62824353226147e-05,0.11168149828056582,0.1,1e-08,10,4.0,0,2025,2028,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.010854425485931773,7.396885755142997e-19,6.814626683586311e-17,0.3,1e-08,1,1.0,0,2025,2032,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.010854425485931773,1.957032018446458e-18,1.8029807482514224e-16,0.3,1e-08,1,2.0,0,2025,2031,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.010854425485931777,2.279873306368262e-18,2.1004090076652738e-16,0.3,1e-08,1,4.0,0,2025,2032,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0009057481766865954,0.0034425480621677433,3.800778351838653,0.3,1e-08,2,1.0,0,2025,2033,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0003794891379187198,3.495630868059431e-05,0.09211412182258921,0.3,1e-08,2,2.0,0,2025,2028,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00040787990472398897,4.9907196362957566e-05,0.12235757580832428,0.3,1e-08,2,4.0,0,2025,2033,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00018772689755645555,0.00014979726146984669,0.7979531085831629,0.3,1e-08,4,1.0,0,2025,2031,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0001838772491823621,4.683863488671899e-05,0.2547277332839927,0.3,1e-08,4,2.0,0,2025,2034,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.00015806624704943988,3.0358756763820953e-05,0.1920635007822091,0.3,1e-08,4,4.0,0,2025,2026,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),0.0001017122084908972,6.436873959161453e-05,0.6328516561251863,0.3,1e-08,6,1.0,0,2025,2026,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),4.911160485685317e-05,1.7391194507696723e-05,0.354115785024482,0.3,1e-08,6,2.0,0,2025,2033,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),7.228208557877258e-05,3.010229204498094e-05,0.4164557760605239,0.3,1e-08,6,4.0,0,2025,2029,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),5.578621324205667e-05,7.50812553233717e-05,1.345874741445413,0.3,1e-08,8,1.0,0,2025,2033,11,cold_start,,,
QRC,Mackey_Glass_(tau=17),2.0265454448381815e-05,8.962389602263738e-06,0.44224962361894526,0.3,1e-08,8,2.0,0,2025,2027,11,cold_start,,,
