data_profile,leakage_rate,lambda_reg,window_size,n_layers,lag,mse
Złożony Chaos (tau=30),0.99,1e-08,6,3,0,1.3939124730679538e-06
Klasyczny Chaos (tau=17),0.99,1e-08,6,3,0,1.6209553331002016e-06
Hiperchaotyczny (tau=100),0.99,1e-08,6,3,0,1.7534989493554395e-06
Złożony Chaos (tau=30),0.99,1e-08,6,2,0,2.6020682931999503e-06
Hiperchaotyczny (tau=100),0.99,1e-08,6,2,0,3.965943232783764e-06
Złożony Chaos (tau=30),0.99,1e-08,4,1,0,4.181406578465706e-06
Klasyczny Chaos (tau=17),0.99,1e-08,6,2,0,4.377715637136326e-06
Hiperchaotyczny (tau=100),0.99,1e-08,4,1,0,5.5202951155858585e-06
Złożony Chaos (tau=30),0.99,1e-08,4,4,0,5.9576448419873675e-06
Złożony Chaos (tau=30),0.99,1e-08,6,1,0,6.8543451349719205e-06
Klasyczny Chaos (tau=17),0.99,1e-08,6,1,0,7.201384219606824e-06
Klasyczny Chaos (tau=17),0.99,1e-08,4,1,0,7.356220774256926e-06
Hiperchaotyczny (tau=100),0.99,1e-08,4,3,0,7.546824018100492e-06
Hiperchaotyczny (tau=100),0.99,1e-08,7,3,0,7.559516517700932e-06
Złożony Chaos (tau=30),0.99,1e-08,7,2,0,7.559563673728702e-06
Hiperchaotyczny (tau=100),0.99,1e-08,4,4,0,7.562720535353819e-06
Hiperchaotyczny (tau=100),0.99,1e-08,7,2,0,8.505709538485992e-06
Złożony Chaos (tau=30),0.99,1e-08,7,3,0,8.526622690149233e-06
Złożony Chaos (tau=30),0.99,1e-08,5,2,0,8.526744888811509e-06
Hiperchaotyczny (tau=100),0.99,1e-08,6,1,0,8.60458955488335e-06
Klasyczny Chaos (tau=17),0.99,1e-08,7,3,0,8.750730881700775e-06
Złożony Chaos (tau=30),0.99,1e-08,5,3,0,9.415134996861351e-06
Klasyczny Chaos (tau=17),0.99,1e-08,5,2,0,9.928716564657884e-06
Złożony Chaos (tau=30),0.99,1e-08,5,4,0,9.998453044351798e-06
Złożony Chaos (tau=30),0.99,1e-08,7,1,0,1.0178060007408898e-05
Klasyczny Chaos (tau=17),0.99,1e-08,7,2,0,1.0307766627108573e-05
Klasyczny Chaos (tau=17),0.99,1e-08,4,4,0,1.031808383753254e-05
Hiperchaotyczny (tau=100),0.99,1e-08,5,3,0,1.1028135123942072e-05
Złożony Chaos (tau=30),0.99,1e-08,4,3,0,1.1162927467642933e-05
Hiperchaotyczny (tau=100),0.99,1e-08,5,4,0,1.1412550650575578e-05
Hiperchaotyczny (tau=100),0.99,1e-08,7,1,0,1.1886327830771699e-05
Złożony Chaos (tau=30),0.99,1e-08,5,1,0,1.3021551076757133e-05
Klasyczny Chaos (tau=17),0.99,1e-08,4,3,0,1.3073696284234083e-05
Hiperchaotyczny (tau=100),0.99,1e-08,5,2,0,1.3831689528071193e-05
Złożony Chaos (tau=30),0.99,1e-08,7,4,0,1.3949877152968682e-05
Klasyczny Chaos (tau=17),0.99,1e-08,7,4,0,1.432211302268036e-05
Klasyczny Chaos (tau=17),0.99,1e-08,5,3,0,1.5676439122684135e-05
Złożony Chaos (tau=30),0.99,1e-08,6,4,0,1.571909461915409e-05
Klasyczny Chaos (tau=17),0.99,1e-08,5,4,0,1.598828060557335e-05
Klasyczny Chaos (tau=17),0.99,1e-08,7,1,0,1.6005364251851107e-05
Hiperchaotyczny (tau=100),0.99,1e-08,6,4,0,1.7907571914976887e-05
Klasyczny Chaos (tau=17),0.99,1e-08,5,1,0,1.8303693284567634e-05
Klasyczny Chaos (tau=17),0.99,1e-08,6,4,0,1.862066615251226e-05
Hiperchaotyczny (tau=100),0.99,1e-08,5,1,0,1.9320432553243537e-05
Złożony Chaos (tau=30),0.99,1e-08,4,2,0,2.0026842022443626e-05
Klasyczny Chaos (tau=17),0.99,1e-08,4,2,0,2.160717361156488e-05
Hiperchaotyczny (tau=100),0.99,1e-08,7,4,0,2.1668627921714357e-05
Hiperchaotyczny (tau=100),0.99,1e-08,4,2,0,2.205865503670151e-05
Klasyczny Chaos (tau=17),0.5,1e-08,6,3,0,3.2344206055953896e-05
Klasyczny Chaos (tau=17),0.5,1e-08,7,3,0,3.426763902289168e-05
Klasyczny Chaos (tau=17),0.5,1e-08,6,2,0,3.4370600773073573e-05
Klasyczny Chaos (tau=17),0.5,1e-08,7,4,0,3.7116893749451375e-05
Klasyczny Chaos (tau=17),0.5,1e-08,7,1,0,3.858530626688544e-05
Klasyczny Chaos (tau=17),0.5,1e-08,7,2,0,4.2640574877050245e-05
Klasyczny Chaos (tau=17),0.5,1e-08,6,1,0,4.484100421912255e-05
Klasyczny Chaos (tau=17),0.5,1e-08,5,2,0,5.318806567403066e-05
Klasyczny Chaos (tau=17),0.5,1e-08,5,3,0,6.793454087723375e-05
Klasyczny Chaos (tau=17),0.5,1e-08,4,4,0,7.18956115049436e-05
Klasyczny Chaos (tau=17),0.5,1e-08,5,1,0,7.487409651366311e-05
Klasyczny Chaos (tau=17),0.5,1e-08,4,1,0,7.528286501377957e-05
Klasyczny Chaos (tau=17),0.5,1e-08,4,2,0,7.769553459473413e-05
Klasyczny Chaos (tau=17),0.5,1e-08,4,3,0,7.882922529947703e-05
Klasyczny Chaos (tau=17),0.5,1e-08,6,4,0,8.653039530249103e-05
Klasyczny Chaos (tau=17),0.5,1e-08,5,4,0,9.073577244665585e-05
Klasyczny Chaos (tau=17),0.1,1e-08,7,3,0,0.00025730974450299636
Złożony Chaos (tau=30),0.5,1e-08,7,2,0,0.00027517667467751635
Złożony Chaos (tau=30),0.5,1e-08,7,1,0,0.0002752581161178408
Złożony Chaos (tau=30),0.5,1e-08,7,3,0,0.0002823202524783558
Złożony Chaos (tau=30),0.5,1e-08,6,3,0,0.0002830057939981862
Złożony Chaos (tau=30),0.5,1e-08,6,2,0,0.00028843934827023777
Złożony Chaos (tau=30),0.5,1e-08,7,4,0,0.0002898439298747325
Złożony Chaos (tau=30),0.5,1e-08,6,1,0,0.0002901528916719963
Złożony Chaos (tau=30),0.5,1e-08,5,3,0,0.00030588334533851854
Złożony Chaos (tau=30),0.5,1e-08,5,1,0,0.0003156247025791461
Złożony Chaos (tau=30),0.5,1e-08,4,1,0,0.00031668771916189904
Złożony Chaos (tau=30),0.5,1e-08,5,2,0,0.0003173986033785587
Złożony Chaos (tau=30),0.5,1e-08,4,4,0,0.0003207999009111427
Złożony Chaos (tau=30),0.5,1e-08,6,4,0,0.0003215270859238757
Klasyczny Chaos (tau=17),0.1,1e-08,7,1,0,0.0003285436522011025
Złożony Chaos (tau=30),0.5,1e-08,5,4,0,0.0003311049057716681
Złożony Chaos (tau=30),0.5,1e-08,4,3,0,0.0003399461243137955
Złożony Chaos (tau=30),0.5,1e-08,4,2,0,0.0003441922720788475
Klasyczny Chaos (tau=17),0.1,1e-08,7,4,0,0.00037824020511127265
Klasyczny Chaos (tau=17),0.1,1e-08,7,2,0,0.00038165582021323897
Klasyczny Chaos (tau=17),0.1,1e-08,6,4,0,0.00039611352605642435
Klasyczny Chaos (tau=17),0.1,1e-08,6,1,0,0.0004278906252701921
Klasyczny Chaos (tau=17),0.1,1e-08,6,2,0,0.0004700233598567644
Hiperchaotyczny (tau=100),0.5,1e-08,4,1,0,0.0004704182845084439
Hiperchaotyczny (tau=100),0.5,1e-08,4,4,0,0.00047987951225258096
Hiperchaotyczny (tau=100),0.5,1e-08,4,3,0,0.00048190458155295435
Hiperchaotyczny (tau=100),0.5,1e-08,6,3,0,0.0004933139151945339
Hiperchaotyczny (tau=100),0.5,1e-08,5,3,0,0.0004945840310831256
Hiperchaotyczny (tau=100),0.5,1e-08,4,2,0,0.0004946620623133814
Hiperchaotyczny (tau=100),0.5,1e-08,6,2,0,0.0004968080737188846
Hiperchaotyczny (tau=100),0.5,1e-08,6,1,0,0.0005003117994841605
Hiperchaotyczny (tau=100),0.5,1e-08,5,1,0,0.0005046483109218726
Hiperchaotyczny (tau=100),0.5,1e-08,5,4,0,0.0005078116946539183
Hiperchaotyczny (tau=100),0.5,1e-08,5,2,0,0.0005118540125486536
Hiperchaotyczny (tau=100),0.5,1e-08,7,1,0,0.0005120829885576553
Hiperchaotyczny (tau=100),0.5,1e-08,7,3,0,0.0005125384135916475
Hiperchaotyczny (tau=100),0.5,1e-08,7,2,0,0.0005198898366784189
Hiperchaotyczny (tau=100),0.5,1e-08,6,4,0,0.0005425000941919602
Hiperchaotyczny (tau=100),0.5,1e-08,7,4,0,0.0005521231627542679
Klasyczny Chaos (tau=17),0.1,1e-08,6,3,0,0.0005782005725970994
Klasyczny Chaos (tau=17),0.1,1e-08,5,2,0,0.0006715862080507237
Klasyczny Chaos (tau=17),0.1,1e-08,5,1,0,0.0006940162897593638
Klasyczny Chaos (tau=17),0.1,1e-08,5,3,0,0.0007597188393070387
Klasyczny Chaos (tau=17),0.1,1e-08,5,4,0,0.0007639800044935087
Klasyczny Chaos (tau=17),0.1,1e-08,4,1,0,0.0007676852971595606
Klasyczny Chaos (tau=17),0.1,1e-08,4,3,0,0.0008263281820950749
Klasyczny Chaos (tau=17),0.1,1e-08,4,4,0,0.0009702152104899797
Klasyczny Chaos (tau=17),0.1,1e-08,4,2,0,0.0010604346846071655
Złożony Chaos (tau=30),0.1,1e-08,7,2,0,0.0022194719183227622
Złożony Chaos (tau=30),0.1,1e-08,7,4,0,0.002306194460464915
Złożony Chaos (tau=30),0.1,1e-08,7,1,0,0.002465848286435709
Złożony Chaos (tau=30),0.1,1e-08,6,2,0,0.0024861034582750003
Złożony Chaos (tau=30),0.1,1e-08,6,4,0,0.002527433244858064
Złożony Chaos (tau=30),0.1,1e-08,6,3,0,0.002564261124243925
Złożony Chaos (tau=30),0.1,1e-08,7,3,0,0.002569792982174387
Złożony Chaos (tau=30),0.1,1e-08,6,1,0,0.0027817045543394267
Złożony Chaos (tau=30),0.1,1e-08,5,2,0,0.002814947102788791
Złożony Chaos (tau=30),0.1,1e-08,5,4,0,0.0029298325462044097
Złożony Chaos (tau=30),0.1,1e-08,4,4,0,0.0030209152459455234
