data_profile,leakage_rate,lambda_reg,window_size,n_layers,lag,beta,gamma,n,tau,dt,T,mean_mse_one_step_ahead,std_mse_one_step_ahead,min_mse_one_step_ahead,max_mse_one_step_ahead,median_mse_one_step_ahead,cv_mse_one_step_ahead,mean_mse_autonomous,std_mse_autonomous,min_mse_autonomous,max_mse_autonomous,median_mse_autonomous,cv_mse_autonomous,n_points,ar_coeffs,ma_coeffs,order
Complex_Chaos_(tau=30),0.1,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0027123807504401977,0.00015067341082477143,0.0024647661681139526,0.002999323340940266,0.0026867542457137206,0.05555024337948068,20058.881073988137,16982.492372873545,1999.6411493858589,57573.34498739171,15854.364650847087,0.8466320883120456,,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026588587641509917,0.0001651685582133219,0.0024776498733720628,0.003019958478623036,0.002605370652567674,0.06212009469636586,10936.44249230381,7931.788802705968,1942.1002318736719,28387.36050571382,6762.890473097193,0.7252622421128008,,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002671175981472793,0.00020397049357335085,0.002487653478568528,0.0032213523980306213,0.0026122870077044703,0.07635981117982675,4058.2216008503233,3036.7800648530606,1183.6042349179854,11568.629311629427,2491.9863298799187,0.7483031641783093,,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002200832085844902,0.00016820901674798383,0.0019370402261821686,0.002451333465031004,0.002256864429263618,0.07642973665726442,13346.663154619786,8084.917856143032,2814.4380058456086,29742.937777005613,10380.736797566558,0.6057632355353582,,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0022342066084129857,0.00011031043785370488,0.002081455993735963,0.002476625197408912,0.0022207651276905625,0.049373427434296784,5873.153629513373,4188.631115341302,2258.3839548183755,18163.452122888983,4351.007445917087,0.7131826237769223,,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0020900674985372372,0.00011609991367149479,0.0018693598337517702,0.0022903968234394556,0.002085580003291665,0.05554840394042246,4296.372163171603,2787.441647424995,1301.3302192296278,11774.607652718572,3769.5542307182254,0.6487896163462926,,,,
Complex_Chaos_(tau=30),0.1,1e-08,10,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0019086543779207844,0.0001109954981843605,0.0016767112679258879,0.0020610505130819715,0.0019078689697660117,0.05815379644861359,12922.01442582911,11544.987323584883,1687.3160375906027,38190.12576272625,9482.8503612072,0.893435569960999,,,,
Complex_Chaos_(tau=30),0.1,1e-08,10,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.001735628297070007,0.00012253232298711905,0.0015329556232002777,0.001991812597363566,0.0016934120588547657,0.07059825147698469,5567.672086734212,4426.382543050687,2008.8779650182744,18879.162109805493,4686.213921884271,0.7950149495328912,,,,
Complex_Chaos_(tau=30),0.1,1e-08,10,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.001740855822199297,0.00010493898720080486,0.0015952005179893534,0.001936105191575683,0.0017114299481830997,0.06028011387423858,1916.5222227686681,1244.3661408733542,487.73946922080813,4017.1044810024073,1286.7641266726891,0.6492834396022311,,,,
Complex_Chaos_(tau=30),0.3,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0008498441982655861,5.714484669924591e-05,0.0007988897503095852,0.0010048880182667367,0.0008233736264415883,0.06724155652985642,3872.499718836174,4392.690943515245,172.63895711495994,12703.457058699412,1852.3940793681916,1.1343295706772594,,,,
Complex_Chaos_(tau=30),0.3,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0008114320789831643,1.5421508343979026e-05,0.0007966003720397042,0.00085487414819053,0.0008061833305871885,0.019005297847361782,297.8800183290105,158.43504880327433,72.34753223574182,600.4397195304383,264.27628650433553,0.5318753828874877,,,,
Complex_Chaos_(tau=30),0.3,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000817130674300883,2.820053202588883e-05,0.000797569345867344,0.0009010790359694496,0.0008082595892714895,0.034511655127885774,234.65944013605147,324.3896423268714,42.49139899172865,1234.9688586052125,130.75235131838755,1.3823847961914335,,,,
